MeSH Disease Term	PubMed occurrence
Prehypertension	47
Lipodystrophy, Congenital Generalized	47
Bovine Respiratory Disease Complex	46
Glycogen Storage Disease Type IIb	46
Sleep Paralysis	46
Sleep-Wake Transition Disorders	46
Ovotesticular Disorders of Sex Development	46
Blue Toe Syndrome	46
Purpura Fulminans	46
Wolf-Hirschhorn Syndrome	46
Lingual Thyroid	46
Skin Diseases, Metabolic	46
Hemorrhagic Septicemia, Viral	45
Oesophagostomiasis	45
Nervous System Autoimmune Disease, Experimental	45
Basal Ganglia Hemorrhage	45
Putaminal Hemorrhage	45
Synkinesis	45
Paraphimosis	45
Leukocyte Disorders	45
Lipodystrophy, Familial Partial	45
Blackwater Fever	44
Choriocarcinoma, Non-gestational	44
Neoplasms, Mesothelial	44
Metatarsalgia	44
Primary Dysautonomias	44
Acrocallosal Syndrome	44
Levocardia	44
Upper Extremity Deep Vein Thrombosis	44
Immersion Foot	44
Candidiasis, Invasive	43
Histiocytic Disorders, Malignant	43
Coma, Post-Head Injury	43
Coffin-Lowry Syndrome	43
Night Terrors	43
Eye Manifestations	43
Diabetic Cardiomyopathies	43
Biotinidase Deficiency	43
Louping Ill	42
Tarlov Cysts	42
Lymphoma, Primary Cutaneous Anaplastic Large Cell	42
Mesial Movement of Teeth	42
Sialic Acid Storage Disease	42
Cerebrovascular Trauma	42
Sexual Infantilism	42
Chiari-Frommel Syndrome	42
Malignant Atrophic Papulosis	42
Pinta	41
Visceral Prolapse	41
Steroid Metabolism, Inborn Errors	41
Piedra	40
Encephalomyelitis, Enzootic Porcine	40
Dicrocoeliasis	40
Isosporiasis	40
Paralysis, Hyperkalemic Periodic	40
Cerebral Amyloid Angiopathy, Familial	40
Epilepsy, Partial, Motor	40
Sleep Arousal Disorders	40
Vaginismus	40
Accelerated Idioventricular Rhythm	40
Multiple Carboxylase Deficiency	40
Fructose Metabolism, Inborn Errors	40
White Muscle Disease	40
Chlamydiaceae Infections	39
Hearing Loss, Mixed Conductive-Sensorineural	39
Alexia, Pure	39
Geographic Atrophy	39
Hemospermia	39
Crisscross Heart	39
Romano-Ward Syndrome	39
Steatitis	39
Silver-Russell Syndrome	38
Asthma, Aspirin-Induced	38
Striatonigral Degeneration	38
Aphasia, Conduction	38
Vulvodynia	38
Epidermitis, Exudative, of Swine	38
Granulomatosis, Orofacial	38
Fascioloidiasis	37
Nevus, Sebaceous of Jadassohn	37
Oral Manifestations	37
Lysosomal Storage Diseases, Nervous System	37
Vein of Galen Malformations	37
Corneal Endothelial Cell Loss	37
Screw Worm Infection	36
Inflammatory Breast Neoplasms	36
Hajdu-Cheney Syndrome	36
Gait Apraxia	36
REM Sleep Parasomnias	36
Parametritis	36
Multiple Acyl Coenzyme A Dehydrogenase Deficiency	36
Death	36
Acute Radiation Syndrome	36
Pneumovirus Infections	35
Bulbo-Spinal Atrophy, X-Linked	35
Central Cord Syndrome	35
Azotemia	35
Gynatresia	35
Actinobacillosis	34
Setariasis	34
Leukemia, Eosinophilic, Acute	34
Adamantinoma	34
De Quervain Disease	34
Epilepsy, Partial, Sensory	34
Sinus Pericranii	34
Morning Sickness	34
Inferior Wall Myocardial Infarction	34
Autoimmune Lymphoproliferative Syndrome	34
Sunstroke	34
Lemierre Syndrome	33
Leprosy, Multibacillary	33
Rubulavirus Infections	33
Hallux Rigidus	33
Macrostomia	33
Periventricular Nodular Heterotopia	33
Hydrocolpos	33
Jervell-Lange Nielsen Syndrome	33
Fructose-1,6-Diphosphatase Deficiency	33
Hordeolum	32
Pneumonia, Rickettsial	32
Vesicular Exanthema of Swine	32
Morbillivirus Infections	32
Ostertagiasis	32
Luteoma	32
Osteochondrosis	32
Femoracetabular Impingement	32
Emphysematous Cholecystitis	32
Anthracosis	32
Pneumonia, Atypical Interstitial, of Cattle	32
Mevalonate Kinase Deficiency	32
von Willebrand Disease, Type 2	32
Hyper-IgM Immunodeficiency Syndrome	31
Uveoparotid Fever	31
Neoplasms, Ductal, Lobular, and Medullary	30
Heel Spur	30
Porphyria, Variegate	30
Anaplasmataceae Infections	29
Neoplasms, Plasma Cell	29
Muir-Torre Syndrome	29
Acro-Osteolysis	29
Hypercementosis	29
Reflex, Babinski	29
Chromosome Duplication	29
Lumpy Skin Disease	28
Filoviridae Infections	28
Herpangina	28
Adenomatosis, Pulmonary	28
Peri-Implantitis	28
Lethargy	28
Ureterolithiasis	28
Vulvar Vestibulitis	28
Acatalasia	28
Skin Diseases, Eczematous	28
Intra-Articular Fractures	28
Vesicular Stomatitis	27
Anaplasia	27
TDP-43 Proteinopathies	27
Carney Complex	26
Typhlitis	26
Niemann-Pick Disease, Type B	26
Pyruvate Carboxylase Deficiency Disease	26
Hypersomnolence, Idiopathic	26
Tachycardia, Reciprocating	26
Trichothiodystrophy Syndromes	26
Pyruvate Metabolism, Inborn Errors	26
Refeeding Syndrome	26
Chondromatosis	25
Laryngomalacia	25
Loeys-Dietz Syndrome	25
Carbamoyl-Phosphate Synthase I Deficiency Disease	25
Abducens Nerve Injury	25
Cogan Syndrome	25
Propionic Acidemia	25
Periprosthetic Fractures	24
Hemorrhagic Septicemia	23
Birt-Hogg-Dube Syndrome	23
Female Athlete Triad Syndrome	23
Massive Hepatic Necrosis	23
Silo Filler's Disease	23
Neuronal Migration Disorders	23
46, XY Disorders of Sex Development	23
Lown-Ganong-Levine Syndrome	23
Tendon Entrapment	22
Urea Cycle Disorders, Inborn	22
Subacute Combined Degeneration	22
Retinal Telangiectasis	22
Cadaver	22
AIDS Arteritis, Central Nervous System	21
Dendritic Cell Sarcoma, Interdigitating	21
Glomus Tympanicum Tumor	21
Tracheomalacia	21
Acute Chest Syndrome	21
Susac Syndrome	21
Pure Autonomic Failure	21
Marchiafava-Bignami Disease	21
Vitelliform Macular Dystrophy	21
Retinal Dystrophies	21
von Willebrand Disease, Type 1	21
Keratoderma, Palmoplantar, Epidermolytic	21
Airway Remodeling	21
Passive-Aggressive Personality Disorder	21
Sexual and Gender Disorders	21
Bifidobacteriales Infections	20
Chondromalacia Patellae	20
Tracheobronchomalacia	20
Hallux Limitus	20
Hammer Toe Syndrome	20
Costello Syndrome	20
Brain Stem Hemorrhage, Traumatic	20
Frasier Syndrome	20
Myelodysplastic-Myeloproliferative Diseases	20
Shellfish Poisoning	20
Decapitation	20
Voyeurism	20
Kyasanur Forest Disease	19
Trombiculiasis	19
Mucoepidermoid Tumor	19
Nevus, Halo	19
Overbite	19
Hyperargininemia	19
Stupor	19
Nuchal Cord	19
Ectopia Cordis	19
Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive	19
Netherton Syndrome	19
Glycogen Storage Disease Type VI	19
Mineralocorticoid Excess Syndrome, Apparent	19
Onycholysis	19
Neglected Diseases	19
Colorado Tick Fever	18
Rhabditida Infections	18
Neoplasms, Bone Tissue	18
Osteoarthritis, Spine	18
Coproporphyria, Hereditary	18
Leukoedema, Oral	18
Pulmonary Infarction	18
Nocturnal Paroxysmal Dystonia	18
Persistent Hyperplastic Primary Vitreous	18
Diurnal Enuresis	18
Pubic Symphysis Diastasis	18
Yellow Nail Syndrome	18
Hypobetalipoproteinemia, Familial, Apolipoprotein B	18
Fusobacteriaceae Infections	17
Pasteurellaceae Infections	17
Mongolian Spot	17
Nevus, Spindle Cell	17
Sacroiliitis	17
Failed Back Surgery Syndrome	17
Eye Pain	17
Holocarboxylase Synthetase Deficiency	17
Hypoalphalipoproteinemias	17
Encephalomyelitis, Eastern Equine	16
Adenomyoepithelioma	16
Campomelic Dysplasia	16
Deaf-Blind Disorders	16
Heavy Metal Poisoning, Nervous System	16
Corneal Perforation	16
Sinus Arrest, Cardiac	16
Amino Acid Transport Disorders, Inborn	16
Nairobi Sheep Disease	15
Zoster Sine Herpete	15
Orbital Myositis	15
Capsule Opacification	15
Pyometra	15
Jacobsen Distal 11q Deletion Syndrome	15
Hyper-IgM Immunodeficiency Syndrome, Type 1	15
Leprosy, Paucibacillary	14
22q11 Deletion Syndrome	14
Neurogenic Bowel	14
Retrocochlear Diseases	14
Primary Progressive Nonfluent Aphasia	14
Olfactory Nerve Diseases	14
Alstrom Syndrome	14
Hereditary Angioedema Types I and II	14
Morgellons Disease	14
Postmortem Changes	14
Lymphatic Vessel Tumors	13
Eccrine Porocarcinoma	13
Mulibrey Nanism	13
Bone Diseases, Endocrine	13
Myasthenia Gravis, Neonatal	13
Aicardi Syndrome	13
Pyonephrosis	13
Dent Disease	13
Postpartum Thyroiditis	13
Arteriolosclerosis	13
CHARGE Syndrome	13
Accessory Atrioventricular Bundle	13
Hemorrhagic Syndrome, Bovine	12
Dourine	12
Langerhans Cell Sarcoma	12
Poroma	12
Spinal Osteochondrosis	12
Hallux Varus	12
Ischemic Contracture	12
Salivary Calculi	12
Niemann-Pick Disease, Type A	12
Monckeberg Medial Calcific Sclerosis	12
Dihydropyrimidine Dehydrogenase Deficiency	12
Reticuloendotheliosis, Avian	12
Uveitis, Suppurative	11
Desulfovibrionaceae Infections	11
Pestivirus Infections	11
Mesomycetozoea Infections	11
Ciliophora Infections	11
Colloid Cysts	11
Desmoplastic Small Round Cell Tumor	11
Pontine Glioma	11
Arachnodactyly	11
Cerebral Ventriculitis	11
Smith-Magenis Syndrome	11
Piriformis Muscle Syndrome	11
Sertoli Cell-Only Syndrome	11
Cephalopelvic Disproportion	11
Vasa Previa	11
Granulomatous Mastitis	11
Leukokeratosis, Hereditary Mucosal	11
Poult Enteritis Mortality Syndrome	11
Pneumonia of Calves, Enzootic	10
Mastocytoma, Skin	10
Neoplasm Seeding	10
Aberrant Crypt Foci	10
Bronchomalacia	10
Macrocephaly	10
Hypertensive Retinopathy	10
Liddle Syndrome	10
Trilogy of Fallot	10
Commotio Cordis	10
von Willebrand Disease, Type 3	10
Gray Platelet Syndrome	10
Glycogen Storage Disease Type VIII	10
Cardiovascular Infections	9
Pallister-Hall Syndrome	9
Leukemia, Prolymphocytic, B-Cell	9
Odontogenic Tumor, Squamous	9
Genu Varum	9
Chorea Gravidarum	9
Corneal Dystrophy, Juvenile Epithelial of Meesmann	9
Vasoplegia	9
beta-Mannosidosis	9
Anticipation, Genetic	9
Implant Capsular Contracture	9
Inhalant Abuse	9
Multiple Sulfatase Deficiency Disease	8
Balanitis Xerotica Obliterans	8
Barth Syndrome	8
Necrobiotic Xanthogranuloma	8
Anetoderma	8
Nondisjunction, Genetic	8
Exsanguination	8
Encephalomyelitis, Western Equine	7
Hemorrhagic Fever, Omsk	7
Antley-Bixler Syndrome Phenotype	7
Kashin-Beck Disease	7
Donohue Syndrome	7
Farber Lipogranulomatosis	7
Pentalogy of Cantrell	7
Alien Hand Syndrome	7
Heart Valve Prolapse	7
Chloracne	7
Syndrome	7
Asymptomatic Diseases	7
Intraoperative Awareness	7
Delayed Emergence from Anesthesia	7
Elimination Disorders	7
Torovirus Infections	6
Flea Infestations	6
Enteropathy-Associated T-Cell Lymphoma	6
Argininosuccinic Aciduria	6
Walker-Warburg Syndrome	6
Genetic Diseases, Y-Linked	6
Erythrokeratodermia Variabilis	6
Conducted Energy Weapon Injuries	6
Bartonellaceae Infections	5
Secernentea Infections	5
Stomatognathic System Abnormalities	5
Cobblestone Lissencephaly	5
Iridocorneal Endothelial Syndrome	5
Trichiasis	5
46, XX Disorders of Sex Development	5
Echogenic Bowel	5
delta-Thalassemia	5
Ectodermal Dysplasia 3, Anhidrotic	5
Monilethrix	5
Ichthyosis Bullosa of Siemens	5
Hyalinosis, Systemic	5
Loose Anagen Hair Syndrome	5
Piscirickettsiaceae Infections	4
Digital Dermatitis	4
Toxascariasis	4
Gnathostomiasis	4
Tungiasis	4
Sister Mary Joseph's Nodule	4
Pycnodysostosis	4
Genu Valgum	4
Rheumatoid Vasculitis	4
Mirizzi Syndrome	4
Periodontal Atrophy	4
Hyperlysinemias	4
46, XX Testicular Disorders of Sex Development	4
Ventricular Flutter	4
Hereditary Angioedema Type III	4
Anemia, Hypoplastic, Congenital	4
Prolidase Deficiency	4
Sotos Syndrome	4
Necrolytic Migratory Erythema	4
Prolapse	4
Mononegavirales Infections	3
Avulavirus Infections	3
Pythiosis	3
Pagetoid Reticulosis	3
Medial Tibial Stress Syndrome	3
Plagiocephaly	3
Post-Exercise Hypotension	3
Diffuse Neurofibrillary Tangles with Calcification	3
Fraser Syndrome	3
Posterior Capsular Rupture, Ocular	3
Aspermia	3
Sex Chromosome Disorders of Sex Development	3
Pyelectasis	3
Single Umbilical Artery	3
Lingual Goiter	3
Hyperthyroxinemia, Familial Dysalbuminemic	3
Aspartylglucosaminuria	3
Iliotibial Band Syndrome	3
Nidovirales Infections	2
Euglenozoa Infections	2
Composite Lymphoma	2
Lynch Syndrome II	2
Bunion, Tailor's	2
Sarcoglycanopathies	2
Diverticulosis, Stomach	2
Pancreatitis, Graft	2
Refsum Disease, Infantile	2
Giant Axonal Neuropathy	2
Contrecoup Injury	2
Coronary-Subclavian Steal Syndrome	2
Mink Viral Enteritis	1
Oxyurida Infections	1
Cocarcinogenesis	1
Weill-Marchesani Syndrome	1
Infantile Apparent Life-Threatening Event	1
Perimeningeal Infections	1
Slit Ventricle Syndrome	1
Anterior Capsular Rupture, Ocular	1
Pyelocystitis	1
Mannosidase Deficiency Diseases	1
White Heifer Disease	1
Tetrasomy	1
Milk Sickness	1
Intrauterine Device Migration	1
