	MeSH Disease Term	PubMed occurrence	MeSH Disease ID
2730	Lathyrism	368	D007842
2731	Encopresis	368	D004688
2732	Empyema, Subdural	367	D013354
2733	Uveitis, Posterior	367	D015866
2734	Swayback	367	D013540
2735	Hernia, Abdominal	367	D046449
2736	Iliac Aneurysm	366	D017543
2737	Carcinoma, Acinar Cell	365	D018267
2738	Nevus, Blue	365	D018329
2739	Central Nervous System Cysts	365	D020863
2740	Osteoarthropathy, Primary Hypertrophic	365	D010004
2741	Pulmonary Veno-Occlusive Disease	365	D011668
2742	Hyperesthesia	365	D006941
2743	Anophthalmos	365	D000853
2744	Retinal Necrosis Syndrome, Acute	365	D015882
2745	Micronuclei, Chromosome-Defective	365	D048629
2746	Tuberculoma, Intracranial	364	D016862
2747	Murine Acquired Immunodeficiency Syndrome	364	D016183
2748	Rhabdomyosarcoma, Alveolar	364	D018232
2749	Laryngismus	364	D007826
2750	Bird Fancier's Lung	364	D001716
2751	Rhinitis, Atrophic	364	D012222
2752	Eisenmenger Complex	364	D004541
2753	Hypothalamic Neoplasms	363	D007029
2754	Tauopathies	363	D024801
2755	Vulvitis	363	D014847
2756	MPTP Poisoning	362	D020267
2757	Leukemoid Reaction	362	D007955
2758	Hearing Loss, High-Frequency	361	D006316
2759	Lupus Vasculitis, Central Nervous System	361	D020945
2760	Dermatitis, Photoallergic	361	D017454
2761	Clonorchiasis	360	D003003
2762	Port-Wine Stain	360	D019339
2763	Job's Syndrome	359	D007589
2764	Paronychia	358	D010304
2765	Acantholysis	358	D000051
2766	Bites, Human	358	D001734
2767	Neisseriaceae Infections	357	D016870
2768	Gardner Syndrome	356	D005736
2769	Echovirus Infections	355	D004457
2770	Lymphocele	355	D008210
2771	Facial Hemiatrophy	355	D005150
2772	Urolithiasis	355	D052878
2773	Pupil Disorders	354	D011681
2774	Eye Hemorrhage	354	D005130
2775	Carcinoma, Papillary, Follicular	353	D018265
2776	Abortion, Missed	353	D000030
2777	Lyme Neuroborreliosis	352	D020852
2778	Syphilis, Cardiovascular	351	D013589
2779	Gestational Trophoblastic Neoplasms	351	D031901
2780	Neoplasms, Vascular Tissue	351	D009383
2781	Stiff-Person Syndrome	351	D016750
2782	Lens Subluxation	351	D007906
2783	Paget's Disease, Mammary	350	D010144
2784	Porokeratosis	350	D017499
2785	Papilloma, Inverted	349	D018308
2786	Amputation, Traumatic	349	D000673
2787	Histiocytic Sarcoma	348	D054747
2788	Osteochondritis Dissecans	348	D010008
2789	Refsum Disease	348	D012035
2790	Tuberculosis, Male Genital	347	D014389
2791	Neoplasms, Fibrous Tissue	346	D018218
2792	Meningitis, Listeria	345	D008584
2793	Gastritis, Hypertrophic	345	D005758
2794	Ophthalmia, Sympathetic	345	D009879
2795	Ecchymosis	345	D004438
2796	Eye Infections	344	D015817
2797	Poliomyelitis, Bulbar	344	D011052
2798	Brain Stem Infarctions	344	D020526
2799	Aortic Stenosis, Subvalvular	344	D001020
2800	Mucopolysaccharidosis III	344	D009084
2801	Erysipelothrix Infections	343	D004889
2802	Lordosis	342	D008141
2803	Choledocholithiasis	342	D042883
2804	Hepatopulmonary Syndrome	342	D020065
2805	Shy-Drager Syndrome	342	D012791
2806	Uterine Perforation	342	D014595
2807	Malformations of Cortical Development	341	D054220
2808	Fournier Gangrene	340	D018934
2809	Diastema	340	D003970
2810	Amyloid Neuropathies	340	D017772
2811	Lymphangiectasis, Intestinal	340	D008201
2812	Bile Reflux	339	D001655
2813	Smith-Lemli-Opitz Syndrome	339	D019082
2814	Hernia, Femoral	339	D006550
2815	Tuberculosis, Cardiovascular	338	D014381
2816	Pedophilia	338	D010378
2817	Phosphorus Metabolism Disorders	337	D010760
2818	Adrenal Cortex Diseases	337	D000303
2819	Granuloma, Lethal Midline	336	D006103
2820	Protein C Deficiency	336	D020151
2821	Neonatal Abstinence Syndrome	336	D009357
2822	Pityriasis	336	D010915
2823	Sclerosis	336	D012598
2824	Leprosy, Borderline	335	D015439
2825	Pilonidal Sinus	335	D010864
2826	Adenoma, Liver Cell	335	D018248
2827	Spondylarthritis	335	D025241
2828	Mallory-Weiss Syndrome	335	D008309
2829	Asthenopia	335	D001248
2830	Jaundice, Chronic Idiopathic	334	D007566
2831	Tuberculosis, Laryngeal	333	D014387
2832	Goldenhar Syndrome	333	D006053
2833	Cri-du-Chat Syndrome	333	D003410
2834	Hyperlipoproteinemia Type III	333	D006952
2835	Encephalomyelitis, Equine	332	D004683
2836	Tooth Resorption	332	D014091
2837	Head Injuries, Penetrating	332	D020197
2838	Lymphangitis	332	D008205
2839	Actinobacillus Infections	331	D000189
2840	Pneumonia, Lipid	331	D011017
2841	Iridocyclitis	331	D015863
2842	Nail-Patella Syndrome	330	D009261
2843	Yellow Fever	329	D015004
2844	Cataplexy	329	D002385
2845	Bulbar Palsy, Progressive	328	D010244
2846	Plaque, Atherosclerotic	328	D058226
2847	Peroxisomal Disorders	327	D018901
2848	Epiretinal Membrane	327	D019773
2849	Kidney Cortex Necrosis	327	D007673
2850	Hemoglobinuria	327	D006456
2851	Superior Mesenteric Artery Syndrome	326	D013478
2852	Orbital Pseudotumor	326	D016727
2853	Pityriasis Rubra Pilaris	326	D010916
2854	Laryngeal Edema	325	D007819
2855	Erythromelalgia	325	D004916
2856	Factor XIII Deficiency	325	D005177
2857	Keratosis, Seborrheic	324	D017492
2858	Anemia, Dyserythropoietic, Congenital	322	D000742
2859	Anemia, Neonatal	322	D000751
2860	Factor XI Deficiency	322	D005173
2861	Rupture, Spontaneous	322	D012422
2862	Hyperostosis, Cortical, Congenital	321	D006958
2863	Foot Deformities	321	D005530
2864	Hidradenitis Suppurativa	320	D017497
2865	Sex Cord-Gonadal Stromal Tumors	320	D018312
2866	Neoplasm Regression, Spontaneous	320	D009365
2867	Gastroschisis	320	D020139
2868	Oliguria	320	D009846
2869	Infectious Bovine Rhinotracheitis	319	D007241
2870	Neoplasms, Connective Tissue	319	D009372
2871	Fibroma, Ossifying	319	D018214
2872	Ocular Hypotension	319	D015814
2873	Genomic Instability	319	D042822
2874	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	318	D054218
2875	Capgras Syndrome	318	D002194
2876	HTLV-II Infections	317	D015491
2877	Mastocytosis, Systemic	316	D034721
2878	Angiokeratoma	316	D000794
2879	Limbic Encephalitis	316	D020363
2880	Uterine Cervical Incompetence	316	D002581
2881	Vaginal Fistula	316	D014624
2882	Pancoast Syndrome	315	D010178
2883	Gangliosidoses	315	D005733
2884	Heart Failure, Systolic	315	D054143
2885	Retropharyngeal Abscess	314	D017703
2886	Zygomycosis	314	D020096
2887	Mouth Breathing	314	D009058
2888	Acute Disease	314	D000208
2889	Neurocytoma	313	D018306
2890	Osteitis Fibrosa Cystica	313	D010002
2891	Shwartzman Phenomenon	313	D012790
2892	Hantavirus Infections	312	D018778
2893	Gingival Recession	312	D005889
2894	Bartonella Infections	311	D001474
2895	Erythema Chronicum Migrans	311	D015787
2896	Gastric Dilatation	311	D013271
2897	Goiter, Substernal	311	D006045
2898	Hyperostosis	310	D015576
2899	Cor Triatriatum	310	D003310
2900	Abetalipoproteinemia	310	D000012
2901	Zygomatic Fractures	310	D015051
2902	Hemoglobin SC Disease	309	D006450
2903	Cardiovirus Infections	308	D018188
2904	Actinomycosis, Cervicofacial	307	D000197
2905	HIV Wasting Syndrome	307	D019247
2906	Brenner Tumor	307	D001948
2907	Anterior Compartment Syndrome	307	D000868
2908	Pouchitis	307	D019449
2909	CADASIL	307	D046589
2910	REM Sleep Behavior Disorder	307	D020187
2911	Facial Nerve Injuries	306	D020220
2912	Trigeminal Nerve Diseases	306	D020433
2913	Sertoli-Leydig Cell Tumor	305	D018310
2914	Neurocutaneous Syndromes	305	D020752
2915	Hematoma, Epidural, Spinal	305	D046748
2916	Adenoma, Villous	304	D018253
2917	Arthus Reaction	304	D001183
2918	Silicotuberculosis	303	D012830
2919	Ophthalmoplegia, Chronic Progressive External	303	D017246
2920	Lateral Medullary Syndrome	303	D014854
2921	Hematoma, Subdural, Chronic	303	D020200
2922	Amniotic Band Syndrome	303	D000652
2923	Alagille Syndrome	302	D016738
2924	Zellweger Syndrome	302	D015211
2925	Jaw Fractures	302	D007572
2926	Maxillary Fractures	302	D008440
2927	Oral Submucous Fibrosis	301	D009914
2928	Dermatitis, Phototoxic	301	D017484
2929	Immune Reconstitution Inflammatory Syndrome	301	D054019
2930	Sarcoma, Endometrial Stromal	300	D018203
2931	Diaphragmatic Eventration	300	D003965
2932	Periodontal Attachment Loss	300	D017622
2933	Skin Abnormalities	300	D012868
2934	Thyroiditis, Subacute	300	D013968
2935	Nevus, Epithelioid and Spindle Cell	299	D018332
2936	Conjunctivitis, Inclusion	298	D003235
2937	Metaplasia	298	D008679
2938	Strongyle Infections, Equine	297	D013319
2939	Salivary Gland Calculi	297	D015494
2940	Cheyne-Stokes Respiration	297	D002639
2941	Sinoatrial Block	297	D012848
2942	Choroid Plexus Neoplasms	296	D016545
2943	Tympanic Membrane Perforation	296	D018058
2944	Fasciculation	296	D005207
2945	Relapsing Fever	295	D012061
2946	Leukemia, Prolymphocytic	295	D015463
2947	Gastroenteritis, Transmissible, of Swine	294	D005761
2948	Mixed Tumor, Mullerian	294	D018200
2949	Polycystic Kidney, Autosomal Recessive	294	D017044
2950	Congenital Disorders of Glycosylation	294	D018981
2951	Parapsoriasis	294	D010267
2952	Central Nervous System Viral Diseases	293	D020805
2953	Mouth Abnormalities	293	D009056
2954	Popliteal Cyst	292	D011151
2955	Enchondromatosis	292	D004687
2956	Renal Tubular Transport, Inborn Errors	292	D015499
2957	Pre-Excitation Syndromes	292	D011226
2958	Struma Ovarii	291	D013330
2959	Miller Fisher Syndrome	291	D019846
2960	PC12 Cells	291	D016716
2961	Migraine without Aura	290	D020326
2962	Duane Retraction Syndrome	290	D004370
2963	Peanut Hypersensitivity	290	D021183
2964	Labor Pain	289	D048949
2965	Tangier Disease	289	D013631
2966	Respiratory Tract Fistula	287	D016156
2967	Cardiomyopathy, Hypertrophic, Familial	287	D024741
2968	Kallmann Syndrome	286	D017436
2969	Near Drowning	286	D015701
2970	Gingival Overgrowth	285	D019214
2971	Rothmund-Thomson Syndrome	285	D011038
2972	Histiocytoma, Malignant Fibrous	284	D051677
2973	Iritis	284	D007500
2974	Tick-Borne Diseases	283	D017282
2975	Sexually Transmitted Diseases, Bacterial	283	D015231
2976	Medullary Sponge Kidney	283	D007691
2977	Candidiasis, Chronic Mucocutaneous	281	D002178
2978	Alcohol-Induced Disorders, Nervous System	281	D020268
2979	Diffuse Axonal Injury	280	D020833
2980	Blindness, Cortical	280	D019575
2981	Prune Belly Syndrome	280	D011535
2982	Skin Diseases, Genetic	280	D012873
2983	Diaper Rash	280	D003963
2984	Fractures, Compression	280	D050815
2985	Pneumocystis Infections	279	D016720
2986	Berylliosis	279	D001607
2987	Brain Injury, Chronic	279	D020208
2988	Hypertensive Encephalopathy	279	D020343
2989	Anisakiasis	278	D017129
2990	Sprue, Tropical	278	D013182
2991	Epilepsy, Rolandic	278	D019305
2992	Aniridia	277	D015783
2993	Serratia Infections	276	D016868
2994	Rubinstein-Taybi Syndrome	276	D012415
2995	Muscular Dystrophy, Facioscapulohumeral	276	D020391
2996	Meningitis, Fungal	275	D016921
2997	Joint Deformities, Acquired	275	D016916
2998	Angiomatosis, Bacillary	274	D016917
2999	Loiasis	274	D008118
3000	Epidural Neoplasms	274	D015174
3001	Papillon-Lefevre Disease	274	D010214
3002	Hip Dysplasia, Canine	274	D006619
3003	Epidermolysis Bullosa Simplex	273	D016110
3004	Togaviridae Infections	272	D014036
3005	Urachal Cyst	272	D014496
3006	Retrognathism	272	D063173
3007	Muscular Dystrophies, Limb-Girdle	272	D049288
3008	Amyloid Neuropathies, Familial	272	D028227
3009	Brain Diseases, Metabolic, Inborn	271	D020739
3010	Apudoma	270	D001079
3011	Tooth Migration	269	D014085
3012	Laurence-Moon Syndrome	268	D007849
3013	Oophoritis	268	D009869
3014	Abnormalities, Severe Teratoid	267	D009008
3015	Hypertelorism	266	D006972
3016	Endolymphatic Hydrops	266	D018159
3017	Sick Building Syndrome	266	D018877
3018	Argyria	265	D001129
3019	Beriberi	265	D001602
3020	Dictyocaulus Infections	264	D004022
3021	Micrognathism	264	D008844
3022	Myopathies, Nemaline	264	D017696
3023	Enzootic Bovine Leukosis	263	D016583
3024	Myelolipoma	263	D018209
3025	Mental Retardation, X-Linked	263	D038901
3026	Slow Virus Diseases	262	D012897
3027	Infratentorial Neoplasms	262	D015192
3028	Hypokalemic Periodic Paralysis	262	D020514
3029	Heart Failure, Diastolic	262	D054144
3030	Factor X Deficiency	262	D005171
3031	Hemorrhagic Fever, Ebola	261	D019142
3032	Capillary Leak Syndrome	261	D019559
3033	Ganglion Cysts	260	D045888
3034	Teratocarcinoma	260	D018243
3035	Iris Neoplasms	260	D015811
3036	Dentinogenesis Imperfecta	260	D003811
3037	Sweat Gland Diseases	260	D013543
3038	Pericarditis, Tuberculous	259	D010495
3039	Myoma	259	D009214
3040	Sweating, Gustatory	259	D013547
3041	Pituitary ACTH Hypersecretion	259	D047748
3042	Bordetella Infections	258	D001885
3043	Esthesioneuroblastoma, Olfactory	258	D018304
3044	Choanal Atresia	257	D002754
3045	Liposarcoma, Myxoid	256	D018208
3046	Open Bite	256	D024343
3047	Obesity Hypoventilation Syndrome	256	D010845
3048	Rickettsiaceae Infections	255	D012288
3049	Melanoma, Amelanotic	255	D018328
3050	Dyskeratosis Congenita	255	D019871
3051	Obesity, Abdominal	255	D056128
3052	Pseudohypoaldosteronism	254	D011546
3053	Embryo Loss	254	D020964
3054	Hypotrichosis	254	D007039
3055	Lipomatosis, Multiple Symmetrical	254	D008069
3056	Ergotism	254	D004881
3057	Chromosome Breakage	253	D019457
3058	Tuberculosis, Oral	252	D014393
3059	Ecthyma, Contagious	252	D004474
3060	Myopathies, Structural, Congenital	252	D020914
3061	Rectovaginal Fistula	252	D012006
3062	Myoclonic Epilepsy, Juvenile	252	D020190
3063	Catheter-Related Infections	251	D055499
3064	Periodontal Abscess	251	D010508
3065	Fibrous Dysplasia, Monostotic	251	D005358
3066	Mucositis	251	D052016
3067	Retinal Drusen	251	D015593
3068	Hyperbilirubinemia, Neonatal	251	D051556
3069	Anthracosilicosis	250	D000874
3070	Angioid Streaks	250	D000793
3071	Epidermolysis Bullosa Acquisita	250	D016107
3072	Neoplasms, Basal Cell	249	D018295
3073	Somnambulism	249	D013009
3074	Angiomyoma	248	D018229
3075	Orofaciodigital Syndromes	248	D009958
3076	Chronobiology Disorders	248	D021081
3077	Nephrolithiasis	248	D053040
3078	Kaposi Varicelliform Eruption	247	D007617
3079	Wolfram Syndrome	247	D014929
3080	Tarsal Tunnel Syndrome	247	D013641
3081	Spirochaetales Infections	246	D013145
3082	Epidermodysplasia Verruciformis	246	D004819
3083	Equine Infectious Anemia	246	D004859
3084	Eosinophilia-Myalgia Syndrome	246	D016603
3085	Mesenteric Lymphadenitis	246	D008640
3086	Dry Socket	246	D004368
3087	Pemphigoid Gestationis	245	D006559
3088	Lipoid Proteinosis of Urbach and Wiethe	244	D008065
3089	Shock, Surgical	244	D012773
3090	Megacolon, Toxic	243	D008532
3091	Neuralgia, Postherpetic	243	D051474
3092	Shaken Baby Syndrome	243	D038642
3093	Uterine Inertia	243	D014593
3094	Lightning Injuries	243	D015168
3095	Hemorrhagic Fever, American	242	D006478
3096	Peroneal Neuropathies	242	D020427
3097	Wasting Syndrome	242	D019282
3098	Scheuermann Disease	241	D012544
3099	Prosopagnosia	241	D020238
3100	Chromosomal Instability	241	D043171
3101	Dens in Dente	240	D003719
3102	Headache Disorders, Primary	240	D051270
3103	Hyperostosis Frontalis Interna	239	D006957
3104	Labyrinthitis	239	D007762
3105	Sandhoff Disease	239	D012497
3106	Postphlebitic Syndrome	239	D011186
3107	Epidermolysis Bullosa, Junctional	239	D016109
3108	Fasciitis, Plantar	238	D036981
3109	Macroglossia	238	D008260
3110	Sarcoma, Clear Cell	237	D018227
3111	Proctocolitis	237	D011350
3112	Myopia, Degenerative	237	D047728
3113	Favism	237	D005236
3114	Pyuria	236	D011776
3115	Trauma, Nervous System	236	D020196
3116	Dentin, Secondary	235	D003809
3117	Monosomy	235	D009006
3118	Rhinosporidiosis	233	D012227
3119	Bone Malalignment	233	D017760
3120	Byssinosis	233	D002095
3121	Earache	233	D004433
3122	Causalgia	233	D002422
3123	Pantothenate Kinase-Associated Neurodegeneration	232	D006211
3124	Bernard-Soulier Syndrome	232	D001606
3125	Multiple Endocrine Neoplasia Type 2b	231	D018814
3126	Pneumonia, Progressive Interstitial, of Sheep	230	D011021
3127	Cherubism	230	D002636
3128	Ethmoid Sinusitis	230	D015521
3129	Tics	230	D020323
3130	Hyperlipoproteinemia Type I	230	D008072
3131	Bone Diseases, Infectious	229	D001850
3132	Neurogenic Inflammation	229	D020078
3133	Tabes Dorsalis	228	D013606
3134	Osteoblastoma	228	D018215
3135	Solitary Fibrous Tumors	228	D054364
3136	Ossification of Posterior Longitudinal Ligament	228	D017887
3137	Aphakia	228	D001035
3138	Mydriasis	228	D015878
3139	Hyperphosphatemia	228	D054559
3140	African Swine Fever	227	D000357
3141	Hand, Foot and Mouth Disease	227	D006232
3142	Melorheostosis	227	D008557
3143	Retinoschisis	227	D041441
3144	Thyroid Hormone Resistance Syndrome	227	D018382
3145	Hemolysis	227	D006461
3146	Tuberculosis, Splenic	226	D014400
3147	Lymphangiomyoma	226	D008203
3148	Bardet-Biedl Syndrome	226	D020788
3149	Heredodegenerative Disorders, Nervous System	226	D020271
3150	Diabetes Insipidus, Neurogenic	226	D020790
3151	Nonodontogenic Cysts	225	D009631
3152	Adenomyoma	225	D018194
3153	Acrospiroma	225	D018250
3154	Pain Insensitivity, Congenital	225	D000699
3155	Splenosis	225	D017890
3156	Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative	224	D054438
3157	Fused Teeth	224	D005671
3158	Posterior Leukoencephalopathy Syndrome	224	D054038
3159	Glaucoma, Neovascular	224	D015355
3160	Balkan Nephropathy	224	D001449
3161	Crigler-Najjar Syndrome	224	D003414
3162	Granuloma Inguinale	223	D006100
3163	Trichostrongyloidiasis	223	D014252
3164	Gingival Hemorrhage	223	D005884
3165	Truncus Arteriosus, Persistent	223	D014339
3166	Mucinoses	223	D017520
3167	Euthyroid Sick Syndromes	223	D005067
3168	Tooth Attrition	222	D019217
3169	Exanthema Subitum	221	D005077
3170	Panuveitis	221	D015864
3171	Tuberculosis, Endocrine	220	D014383
3172	Central Nervous System Fungal Infections	220	D020314
3173	Leukemia, Basophilic, Acute	220	D015471
3174	Dysphonia	220	D055154
3175	Alkalosis, Respiratory	220	D000472
3176	Tachycardia, Sinus	220	D013616
3177	Vitamin K Deficiency Bleeding	220	D006475
3178	Iron Metabolism Disorders	220	D019189
3179	Latent Tuberculosis	219	D055985
3180	Lymphomatoid Papulosis	219	D017731
3181	Neurofibroma, Plexiform	219	D018318
3182	Ichthyosis, Lamellar	219	D017490
3183	Mucopolysaccharidosis VI	219	D009087
3184	Iatrogenic Disease	219	D007049
3185	Root Caries	218	D017213
3186	Hematoma, Subdural, Acute	218	D020199
3187	Pulmonary Blastoma	217	D018202
3188	Ellis-Van Creveld Syndrome	217	D004613
3189	Scimitar Syndrome	217	D012587
3190	Sphenoid Sinusitis	217	D015524
3191	Elephantiasis	217	D004604
3192	Dental Fistula	216	D003751
3193	Rhinitis, Vasomotor	216	D012223
3194	Fructose Intolerance	216	D005633
3195	Scleredema Adultorum	216	D012592
3196	Proteus Syndrome	215	D016715
3197	Cholecystitis, Acute	215	D041881
3198	Digestive System Abnormalities	215	D004065
3199	Lecithin Acyltransferase Deficiency	215	D007863
3200	Hypobetalipoproteinemias	215	D006995
3201	Rupture	215	D012421
3202	Ulnar Nerve Compression Syndromes	214	D017769
3203	Anisometropia	214	D015858
3204	Vitreous Detachment	214	D020255
3205	Abnormalities, Radiation-Induced	214	D000016
3206	Fractures, Comminuted	214	D018460
3207	Peliosis Hepatis	213	D010382
3208	Fibromatosis, Gingival	213	D005351
3209	Choroid Hemorrhage	213	D002832
3210	Ectropion	213	D004483
3211	Pleuropneumonia, Contagious	212	D011002
3212	Syringoma	212	D018252
3213	Meigs Syndrome	212	D008539
3214	Poland Syndrome	212	D011045
3215	Spinal Curvatures	211	D013121
3216	Oculocerebrorenal Syndrome	211	D009800
3217	Ventricular Septal Rupture	211	D018658
3218	Gas Poisoning	211	D005739
3219	Carcinoid Heart Disease	210	D002275
3220	Craniomandibular Disorders	210	D017271
3221	Hydatidiform Mole, Invasive	209	D002820
3222	Blastocystis Infections	208	D016776
3223	Porphyrias, Hepatic	208	D017094
3224	Amnesia, Transient Global	208	D020236
3225	Neuroectodermal Tumors	207	D017599
3226	Musculoskeletal Abnormalities	207	D009139
3227	Nocturnal Myoclonus Syndrome	207	D020189
3228	Retinal Vasculitis	207	D031300
3229	Malignant Catarrh	206	D008304
3230	Phimosis	206	D010688
3231	Factor XII Deficiency	206	D005175
3232	Erdheim-Chester Disease	206	D031249
3233	Dilatation, Pathologic	206	D004108
3234	Hantavirus Pulmonary Syndrome	205	D018804
3235	Caroli Disease	205	D016767
3236	Akinetic Mutism	205	D000405
3237	Oligomenorrhea	205	D009839
3238	Stress Disorders, Traumatic	205	D040921
3239	Hutchinson's Melanotic Freckle	204	D018327
3240	Glossitis	204	D005928
3241	Intervertebral Disk Degeneration	203	D055959
3242	Vulvar Lichen Sclerosus	203	D007724
3243	Glycogen Storage Disease Type III	203	D006010
3244	Schizophrenia, Catatonic	203	D012560
3245	Coronaviridae Infections	202	D003333
3246	Patellofemoral Pain Syndrome	202	D046788
3247	Laboratory Infection	201	D007757
3248	Acquired Hyperostosis Syndrome	201	D020083
3249	Respiratory Aspiration	201	D053120
3250	Ulnar Neuropathies	201	D020424
3251	Flaviviridae Infections	200	D018178
3252	Carcinoma, Basosquamous	200	D002281
3253	Frontal Sinusitis	200	D015522
3254	Vestibular Neuronitis	200	D020338
3255	Sphingolipidoses	200	D013106
3256	Kuru	200	D007729
3257	Myasthenic Syndromes, Congenital	200	D020294
3258	Hemorrhagic Fever, Crimean	199	D006479
3259	Sparganosis	199	D013031
3260	Vipoma	199	D003969
3261	Panniculitis, Peritoneal	199	D015436
3262	Hearing Loss, Central	199	D006313
3263	Nocturnal Enuresis	198	D053206
3264	Hyperkeratosis, Epidermolytic	198	D017488
3265	Ape Diseases	198	D018420
3266	Esophageal Cyst	197	D004934
3267	Aphasia, Primary Progressive	197	D018888
3268	Optic Disk Drusen	197	D015594
3269	Waterhouse-Friderichsen Syndrome	196	D014884
3270	Paralysis, Obstetric	196	D010246
3271	Callosities	196	D002145
3272	Yaws	195	D015001
3273	Conjunctivitis, Viral	195	D003236
3274	Dysostoses	195	D004413
3275	Dental Deposits	195	D003741
3276	Mononeuropathies	195	D020422
3277	Nails, Ingrown	195	D009263
3278	Nephrogenic Fibrosing Dermopathy	195	D054989
3279	Uniparental Disomy	195	D024182
3280	Pick Disease of the Brain	194	D020774
3281	Hypoalbuminemia	194	D034141
3282	Mandibular Injuries	194	D008338
3283	Firesetting Behavior	194	D005391
3284	Lentivirus Infections	193	D016180
3285	Lymphoma, Large-Cell, Immunoblastic	193	D016400
3286	Reactive Attachment Disorder	193	D019962
3287	Treponemal Infections	192	D014211
3288	Cementoma	192	D002485
3289	Thanatophoric Dysplasia	192	D013796
3290	Auditory Diseases, Central	192	D001304
3291	Renal Aminoacidurias	192	D000608
3292	IgG Deficiency	192	D017099
3293	Pasteurellosis, Pneumonic	191	D012766
3294	Sexually Transmitted Diseases, Viral	191	D015229
3295	Carcinoma, Islet Cell	191	D018273
3296	Dental Pulp Calcification	191	D003784
3297	Hernia, Obturator	191	D006553
3298	Heartwater Disease	190	D006357
3299	Tuberculosis, Avian	190	D014379
3300	Platybasia	190	D010985
3301	Frontotemporal Lobar Degeneration	190	D057174
3302	Edema, Cardiac	190	D004489
3303	Pemphigus, Benign Familial	190	D016506
3304	Leukocyte-Adhesion Deficiency Syndrome	190	D018370
3305	Rhabdoviridae Infections	189	D018353
3306	Cystadenoma, Papillary	189	D018292
3307	Adenocarcinoma, Sebaceous	189	D018266
3308	Osteopoikilosis	189	D010023
3309	Albinism, Ocular	189	D016117
3310	Ichthyosiform Erythroderma, Congenital	189	D016113
3311	Fractures, Malunited	189	D017759
3312	Diphyllobothriasis	188	D004169
3313	Malaria, Avian	188	D008289
3314	CREST Syndrome	188	D017675
3315	Aniseikonia	188	D000839
3316	Vaginal Discharge	188	D019522
3317	Syphilis, Latent	187	D013592
3318	Dracunculiasis	187	D004320
3319	Pyelitis	187	D011702
3320	Transvestism	187	D014190
3321	Manganese Poisoning	186	D020149
3322	Carcinoma, Krebs 2	185	D002287
3323	Blind Loop Syndrome	185	D001765
3324	Gerstmann-Straussler-Scheinker Disease	185	D016098
3325	Enophthalmos	185	D015841
3326	Staphylococcal Scalded Skin Syndrome	184	D013206
3327	Rinderpest	184	D012301
3328	Granuloma, Respiratory Tract	184	D015769
3329	Abortion, Incomplete	184	D000027
3330	Herpes Zoster Oticus	183	D016697
3331	Fibromatosis, Abdominal	183	D018221
3332	Foot Rot	183	D005535
3333	Hip Injuries	182	D025981
3334	Camurati-Engelmann Syndrome	181	D003966
3335	Anemia, Myelophthisic	181	D000750
3336	Lymphangiosarcoma	180	D008204
3337	Dental Fissures	180	D003750
3338	Demyelinating Autoimmune Diseases, CNS	180	D020278
3339	Paraparesis, Spastic	180	D020336
3340	Median Neuropathy	180	D020423
3341	Fuchs' Endothelial Dystrophy	180	D005642
3342	Typhus, Endemic Flea-Borne	179	D014437
3343	Paraparesis	179	D020335
3344	Angioedemas, Hereditary	178	D054179
3345	Schizoid Personality Disorder	178	D012557
3346	Arenaviridae Infections	177	D001117
3347	Meige Syndrome	177	D008538
3348	Hypoglossal Nerve Diseases	177	D020437
3349	Serositis	177	D012700
3350	Stereotypic Movement Disorder	177	D019956
3351	Shared Paranoid Disorder	177	D012753
3352	Empyema, Tuberculous	176	D004654
3353	Thyroiditis, Suppurative	176	D013969
3354	Gangliosidosis, GM1	176	D016537
3355	Tachycardia, Ectopic Junctional	176	D013613
3356	Diverticulum, Stomach	176	D013273
3357	Aleutian Mink Disease	175	D000453
3358	Keratosis, Actinic	175	D055623
3359	Autonomic Dysreflexia	175	D020211
3360	Plasma Cell Granuloma, Pulmonary	174	D016726
3361	Hemoglobin C Disease	174	D006445
3362	Mixed Tumor, Malignant	173	D018198
3363	Trochlear Nerve Diseases	173	D020432
3364	Illusions	173	D007088
3365	Mycoplasmatales Infections	172	D009180
3366	Somatostatinoma	172	D013005
3367	Intestinal Polyposis	172	D044483
3368	Adie Syndrome	172	D000270
3369	Hydranencephaly	172	D006832
3370	Blood Coagulation Disorders, Inherited	172	D025861
3371	Back Injuries	172	D019567
3372	Ludwig's Angina	171	D008158
3373	Mercury Poisoning, Nervous System	171	D020262
3374	Urinary Incontinence, Urge	171	D053202
3375	T-Lymphocytopenia, Idiopathic CD4-Positive	171	D018344
3376	Angiolipoma	170	D018206
3377	Myofibromatosis	170	D018224
3378	Tietze's Syndrome	170	D013991
3379	Nystagmus, Congenital	170	D020417
3380	Atrial Premature Complexes	170	D018880
3381	Mucopolysaccharidosis VII	170	D016538
3382	Porphyria, Erythropoietic	170	D017092
3383	Rubella Syndrome, Congenital	169	D012410
3384	Adenoma, Acidophil	169	D000239
3385	Noma	169	D009625
3386	Myoclonic Epilepsies, Progressive	169	D020191
3387	Cranial Nerve Injuries	169	D020209
3388	Central Nervous System Bacterial Infections	168	D020806
3389	Lymphoma, Extranodal NK-T-Cell	168	D054391
3390	Uveitis, Intermediate	167	D015867
